(-54,-35)
(-7,-169)
(-20,-274)
(-77,-317)
(-124,-290)
(-135,-221)
(-115,-146)
(-72,-78)
(-33,-16)
(7,42)
(76,104)
(178,142)
(324,126)
(468,11)
(555,-196)
(524,-449)
(359,-650)
(115,-708)
(-93,-595)
(-169,-369)
(-60,-130)
(182,-10)
(435,-66)
(555,-244)
(483,-439)
(256,-505)
(-7,-381)
(-152,-94)
(-114,212)
(69,393)
(275,377)
(362,199)
(262,-14)
(19,-122)
(-242,-77)
(-389,98)
(-373,271)
(-234,332)
(-91,246)
(-37,60)
(-120,-107)
(-269,-163)
(-373,-74)
(-348,86)
(-172,205)
(83,184)
(292,9)
(353,-259)
(233,-501)
(-23,-600)
(-293,-507)
(-463,-251)
(-459,57)
(-282,292)
(-21,376)
(214,275)
(325,39)
(257,-216)
(52,-391)
(-196,-408)
(-383,-291)
(-422,-109)
(-310,26)
(-121,43)
(-390.5061,362.8951)
(-147.9807,652.9869)
(177.7214,765.2138)
(463.1945,693.5914)
(612.5929,512.4579)
(604.2548,331.5412)
(503.1335,212.5448)
(398.501,175.6158)
(337.697,149.7214)
(320.1615,74.5097)
(286.4889,-69.631)
(178.6913,-253.4335)
(-5.1564,-405.1493)
(-227.7372,-451.5269)
(-390.8168,-379.3984)
(-439.8513,-223.9893)
(-352.9949,-61.9979)
(-175.9376,37.6259)
(33.1579,68.6016)
(214.6137,36.3345)
(352.1371,3.0589)
(451.0624,-33.1335)
(511.4817,-67.4645)
(521.8213,-99.1056)
(468.8299,-141.4624)
(338.1142,-157.4969)
(151.7035,-117.2212)
(-37.9497,-10.7273)
(-173.0797,139.2483)
(-225.4853,272.8894)
(-207.832,329.6016)
(-165.664,279.7696)
(-152.697,148.837)
(-196.1234,-21.631)
(-278.0143,-170.5635)
(-357.6123,-274.9899)
(-399.2397,-340.7473)
(-401.9554,-383.9066)
(-368.0107,-424.7731)
(-318.7904,-448.43)
(-258.8837,-444.2117)
(-182.5873,-413.4909)
(-78.8924,-369.4356)
(29.6569,-330.6072)
(121.4487,-318.328)
(161.8005,-305.5894)
(157.1177,-256.4365)
(142.3381,-154.8436)
(156.6589,-12.3877)
(230.6123,106.4579)
(337.763,150.1112)
(419.6589,92.8478)
(401.1615,-19.868)
(279.4041,-106.7553)
(99.1737,-87.7258)
(-28.0065,41.6848)
(-21.4918,238.5894)
(146.2742,374.4142)
(391.8183,353.1299)
(579.7386,153.4523)
(594.6503,-140.2878)
(396.4701,-385.061)
(69.2153,-454.5118)
(-250.0847,-292.2016)
(247,-354)
(123,-149)
(123,131)
(258,378)
(462,488)
(617,441)
(644,281)
(513,109)
(268,7)
(-5,8)
(-225,109)
(-332,248)
(-324,356)
(-234,371)
(-140,283)
(-115,126)
(-189,-4)
(-338,-29)
(-466,110)
(-468,362)
(-276,620)
(63,729)
(408,611)
(579,304)
(490,-50)
(175,-268)
(-205,-261)
(-473,-39)
(-519,247)
(-361,457)
(-106,484)
(126,355)
(273,155)
(342,-29)
(386,-177)
(431,-292)
(465,-407)
(444,-516)
(362,-573)
(242,-537)
(145,-418)
(96,-274)
(79,-172)
(30,-126)
(-106,-105)
(-314,-21)
(-512,169)
(-595,435)
(-515,671)
(-299,766)
(-62,682)
(89,455)
(95,197)
(-2,20)
(-121,-30)
(-189,12)
(-182,110)
(-113,208)
(-30,295)
(63,379)
(160,466)
(272,527)
(380,534)
(434,466)
(417.9762,446.43)
(485.6417,503.7178)
(524.4909,444.9224)
(482.9762,312.0523)
(331.2864,197.7056)
(136.9066,160.865)
(-25.2929,194.7142)
(-127.0868,249.3244)
(-183.6554,295.7041)
(-223.9777,329.1341)
(-265.4594,384.623)
(-266.6569,481.2712)
(-191.5614,595.857)
(-48.4365,659.9159)
(107.1112,642.2971)
(210.496,552.7285)
(225.8894,458.6955)
(197.6259,413.6331)
(196.5549,410.692)
(256.4544,385.7803)
(358.3036,254.9066)
(396.0402,-0.56497)
(283.9153,-303.229)
(9.1005,-517.8305)
(-331.7559,-560.2361)
(-592.7214,-403.5254)
(-678.7128,-134.397)
(-553.8391,121.4594)
(-309.0208,275.5254)
(-31.4121,318.5462)
(209.226,274.6726)
(404.5971,201.8457)
(558.6596,95.9771)
(651.3925,-44.4148)
(647.1514,-213.4895)
(513.1615,-362.862)
(273.0416,-425.0387)
(-1.0955,-359.6884)
(-216.3711,-186.43)
(-318.3122,11.9376)
(-327.0818,146.9497)
(-301.6798,203.6188)
(-296.2864,203.3797)
(-293.061,209.6051)
(-241.8823,223.4335)
(-116.1264,205.7315)
(39.5757,82.9634)
(108.3209,-133.4823)
(17.1299,-340.6905)
(-215.4163,-392.2224)
(-454.4321,-190.028)
(-510.6295,208.0782)
(-293.1716,618.2397)
(130.7838,816.6833)
(542.7027,699.6224)
(714.7113,335.8715)
(558.4077,-46.763)
(146.5858,-246.328)
(-282.3625,-184.0071)
(-554.2828,47.3345)
(-608.7437,267.5599)
(-546.2965,336.9706)
(-500.7229,258.4903)
(-549.0523,134.7)
(-460,505)
(-287,475)
(-216,332)
(-295,191)
(-458,172)
(-579,283)
(-571,456)
(-432,560)
(-249,538)
(-131,424)
(-94,304)
(-94,246)
(-54,248)
(62,241)
(209,148)
(292,-15)
(261,-180)
(135,-246)
(31,-177)
(49,-49)
(204,10)
(392,-102)
(461,-390)
(303,-704)
(-67,-903)
(-506,-853)
(-827,-561)
(-906,-162)
(-734,178)
(-415,325)
(-93,275)
(124,77)
(202,-164)
(149,-358)
(22,-457)
(-121,-462)
(-251,-379)
(-332,-238)
(-361,-74)
(-331,88)
(-270,229)
(-189,347)
(-95,448)
(46,532)
(238,567)
(467,494)
(666,287)
(723,-37)
(589,-369)
(277,-556)
(-77,-509)
(-303,-255)
(-287,73)
(-64,278)
(211,264)
(372,67)
(335,-149)
(155,-234)
(0,-131)
(6,68)
(195,201)
(452,145)
(604,-88)
(553,-341)
(-349.4939,-670.8951)
(-510.0193,-418.9869)
(-383.7214,-93.2138)
(-33.1945,78.4086)
(335.4071,-16.4579)
(513.7452,-293.5412)
(416.8665,-552.5448)
(159.499,-603.6158)
(-59.697,-411.7214)
(-70.1615,-106.5097)
(129.5111,115.631)
(399.3087,111.4335)
(583.1564,-96.8507)
(555.7372,-386.4731)
(348.8168,-598.6016)
(67.8513,-644.0107)
(-155.0051,-540.0021)
(-248.0624,-345.6259)
(-217.1579,-150.6016)
(-86.6137,-10.3345)
(125.8629,70.9411)
(378.9376,53.1335)
(634.5183,-74.5355)
(796.1787,-316.8944)
(801.1701,-626.5376)
(613.8858,-874.5031)
(290.2965,-948.7788)
(-28.0503,-801.2727)
(-216.9203,-487.2483)
(-208.5147,-142.8894)
(-62.168,110.3984)
(125.664,206.2304)
(244.697,201.163)
(286.1234,163.631)
(282.0143,140.5635)
(281.6123,120.9899)
(285.2397,46.7473)
(225.9554,-84.0934)
(52.0107,-211.2269)
(-221.2096,-223.57)
(-461.1163,-63.7883)
(-523.4127,221.4909)
(-339.1076,473.4356)
(18.3431,506.6072)
(350.5513,264.328)
(460.1995,-168.4106)
(292.8823,-567.5635)
(-44.3381,-743.1564)
(-332.6589,-651.6123)
(-408.6123,-422.4579)
(-271.763,-250.1112)
(-69.6589,-274.8478)
(10.8385,-444.132)
(-119.4041,-593.2447)
(-373.1737,-540.2742)
(-563.9935,-273.6848)
(-540.5082,101.4106)
(-306.2742,371.5858)
(-9.8183,406.8701)
(134.2614,242.5477)
(47.3497,56.2878)
(-214.4701,25.061)
(-451.2153,204.5118)
(-491.9153,484.2016)
(47,-260)
(-81,-313)
(-199,-237)
(-214,-76)
(-100,94)
(93,173)
(262,137)
(307,29)
(194,-53)
(-11,-6)
(-185,167)
(-240,400)
(-158,562)
(-16,569)
(84,421)
(79,198)
(-23,-10)
(-148,-137)
(-224,-202)
(-224,-264)
(-188,-368)
(-193,-489)
(-264,-567)
(-385,-524)
(-458,-360)
(-421,-130)
(-273,51)
(-105,103)
(-33,27)
(-129,-75)
(-372,-84)
(-644,81)
(-809,395)
(-762,741)
(-526,987)
(-185,1040)
(127,903)
(322,642)
(378,369)
(326,157)
(225,40)
(126,10)
(57,34)
(24,88)
(44,137)
(88,147)
(146,91)
(163,-43)
(101,-221)
(-51,-374)
(-252,-442)
(-431,-401)
(-513,-287)
(-472,-166)
(-345,-106)
(-213,-126)
(-134,-192)
(-123,-234)
(-142,-213)
(-137,-147)
(-100,-88)
(-58,-83)
(-66,-128)
(-158,-172)
(-233.9762,221.57)
(-119.6417,82.2822)
(-110.4909,-76.9224)
(-168.9762,-156.0523)
(-203.2864,-141.7056)
(-162.9066,-90.865)
(-26.7071,-86.7142)
(109.0868,-193.3244)
(165.6554,-381.7041)
(89.9777,-573.1341)
(-74.5406,-674.623)
(-255.3431,-647.2712)
(-358.4386,-529.857)
(-359.5635,-397.9159)
(-293.1112,-312.2971)
(-226.496,-288.7285)
(-189.8894,-276.6955)
(-185.6259,-249.6331)
(-172.5549,-184.692)
(-132.4544,-107.7803)
(-60.3036,-44.9066)
(9.9598,-27.435)
(42.0847,-38.771)
(28.8995,-34.1695)
